gps_millis,gnss_sv_id,gnss_id,sv_id,x_sv_m,y_sv_m,z_sv_m,el_sv_deg,az_sv_deg
1303668000000.0,45415,LEO,STARLINK-45415,6374902.741568338,2627386.9360749875,864752.3951641546,,
1303668000000.0,45416,LEO,STARLINK-45416,1055756499.3496972,590592843.6698272,-783189095.7378819,,
1303668000000.0,45417,LEO,STARLINK-45417,-2686746477.2567368,1406787477.0622466,-3572244154.306112,,
1303668000000.0,45419,LEO,STARLINK-45419,4052943.821202054,-4914014.180848952,2866820.272159003,,
1303668300000.0,44751,LEO,STARLINK-44751,-1322975.9573375825,6773297.377965513,-825521.6014300081,,
1303668300000.0,44752,LEO,STARLINK-44752,3872216.203040118,-3524903.7844023793,-4478865.108028365,,
1303668300000.0,44753,LEO,STARLINK-44753,3966780.06311141,-1319581.8811087243,-5552055.141169787,,
1303668300000.0,44758,LEO,STARLINK-44758,1768437729.7832048,233165814.06199,-958311856.0953401,,
1303668300000.0,44759,LEO,STARLINK-44759,4.554645368921948e+16,5.5438875121566566e+17,4.494438934744712e+17,,
1303668300000.0,44761,LEO,STARLINK-44761,,,,,
1303668300000.0,44765,LEO,STARLINK-44765,-3327291419.792613,139963390.5329869,-511793053.16038615,,
1303668300000.0,44768,LEO,STARLINK-44768,-5281877.676707159,4371975.566094102,-248493.63876950182,,
1303668300000.0,44771,LEO,STARLINK-44771,1121597.9617736402,4763432.40913098,4965571.905076945,,
1303668300000.0,44772,LEO,STARLINK-44772,3336095.7823833297,6083299.219623217,-776242.872647746,,
1303668300000.0,44925,LEO,STARLINK-44925,-19100650.009280704,10509885.286009833,28531859.2160865,,
1303668300000.0,44927,LEO,STARLINK-44927,944158.1688680642,-6858170.49020955,171663.12924062109,,
1303668300000.0,44930,LEO,STARLINK-44930,3593636.01958618,-3124675.3685724535,5024908.198572944,,
1303668300000.0,44933,LEO,STARLINK-44933,16119040644.353554,-33937133137.399227,-24601865246.488934,,
1303668300000.0,44940,LEO,STARLINK-44940,162210389.03413835,-146002329.70365003,-171470113.49799934,,
1303668300000.0,44941,LEO,STARLINK-44941,-4185234.6433584406,222675.8980430907,-5504442.234396309,,
1303668300000.0,44942,LEO,STARLINK-44942,8453768087301190.0,6319664776509759.0,1.056777485079817e+16,,
1303668300000.0,44949,LEO,STARLINK-44949,6053231.0513678035,1824055.9816915123,2861224.5705506853,,
1303668300000.0,44961,LEO,STARLINK-44961,4388521.542241565,5182833.00542528,1332894.682147757,,
1303668300000.0,44968,LEO,STARLINK-44968,-6292455.311052414,2930680.5803370704,-547093.7725690586,,
1303668300000.0,44972,LEO,STARLINK-44972,-26304687099019.758,-3823299513183.806,32974462871829.66,,
1303668300000.0,45044,LEO,STARLINK-45044,-6790102.236840865,1433701.7348589497,10487.61564326945,,
1303668300000.0,45047,LEO,STARLINK-45047,3689131.116308055,3917868.1530050547,-4385069.9945820095,,
1303668300000.0,45048,LEO,STARLINK-45048,1616062.8357705912,-6622363.403456127,504524.6780497833,,
1303668300000.0,45054,LEO,STARLINK-45054,-825922.5530396901,4100277.404026185,-5542638.125106898,,
1303668300000.0,45057,LEO,STARLINK-45057,5.930798199815587e+17,-1.4488783902001477e+18,1.9054641738853343e+18,,
1303668300000.0,45060,LEO,STARLINK-45060,-3714681.0329418075,5835623.741351812,-827855.7259555017,,
1303668300000.0,45061,LEO,STARLINK-45061,4724239.585933409,902352.6769122253,-5072044.302413245,,
1303668300000.0,45062,LEO,STARLINK-45062,-23531376509.920456,-787056747871.9998,-383478660892.7795,,
1303668300000.0,45064,LEO,STARLINK-45064,2071312.9435030883,4764542.308131636,-2952941.9544858793,,
1303668300000.0,45071,LEO,STARLINK-45071,6627621.600022243,593616.4157342707,1903440.1326534096,,
1303668300000.0,45072,LEO,STARLINK-45072,1795127.8862350092,-4961601.936765992,4508498.956152597,,
1303668300000.0,45074,LEO,STARLINK-45074,-5333533.446715493,-406602.88046720566,4426816.569453729,,
1303668300000.0,45080,LEO,STARLINK-45080,-4622822.920391902,3070986.596501765,-4161431.6577290837,,
1303668300000.0,45081,LEO,STARLINK-45081,4818114.67895195,3576433.9404416345,-3467035.274429587,,
1303668300000.0,45083,LEO,STARLINK-45083,7024490995669260.0,3616312321512216.0,1160372068791692.8,,
1303668300000.0,45087,LEO,STARLINK-45087,-4621579.422737607,4413372.093820977,-2703725.4969582185,,
1303668300000.0,45088,LEO,STARLINK-45088,135886.25200785822,-5844303.457693233,3750392.005004804,,
1303668300000.0,45093,LEO,STARLINK-45093,7268373492545.334,7487462838154.752,13000193221899.432,,
1303668300000.0,45096,LEO,STARLINK-45096,-5810797.625008261,838032.6291907392,-3196442.142371161,,
1303668300000.0,45098,LEO,STARLINK-45098,6665324.640597702,462922.7668047798,-759046.723918706,,
1303668300000.0,45100,LEO,STARLINK-45100,2194027.2353041815,-4341601.909298404,4924446.311035802,,
1303668300000.0,45179,LEO,STARLINK-45179,-3734775.1171298386,2642853.4382816413,1767116.478861298,,
1303668300000.0,45183,LEO,STARLINK-45183,-6714772.769454145,273783.50361519697,1579206.63903836,,
1303668300000.0,45185,LEO,STARLINK-45185,6173185.318507845,-1408104.5967113003,2807142.0766915055,,
1303668300000.0,45187,LEO,STARLINK-45187,-6263915.8871613955,-2874588.2992277537,-1104058.9321811404,,
