gps_millis,gnss_sv_id,gnss_id,sv_id,x_sv_m,y_sv_m,z_sv_m,el_sv_deg,az_sv_deg
1446684173000.0,45414,LEO,STARLINK-45414,-4295197.86624633,-1303069.3149211446,-5281154.187542092,,
1446684173000.0,45415,LEO,STARLINK-45415,3286575.7582712574,5323537.817143952,2961891.628935176,,
1446684173000.0,45416,LEO,STARLINK-45416,3376404.6264740992,-2350467.4701446,5353392.977530353,,
1446684173000.0,45417,LEO,STARLINK-45417,-4251718.127506978,230733.0376860734,-5353610.492733188,,
1446684173000.0,45419,LEO,STARLINK-45419,-603433.8407956854,-6016720.724819177,-3384398.259835284,,
1446684473000.0,44751,LEO,STARLINK-44751,717107.2208370133,4099164.6189608257,5525841.772950605,,
1446684473000.0,44752,LEO,STARLINK-44752,-4078377.923427104,4369419.019281805,-3362653.859600683,,
1446684473000.0,44753,LEO,STARLINK-44753,336550.00346257497,-5530660.836854205,-4162932.5471251565,,
1446684473000.0,44758,LEO,STARLINK-44758,-2286108.1679952242,5078228.747734905,-3846211.13914435,,
1446684473000.0,44759,LEO,STARLINK-44759,-4046712.1876788107,-233106.48815656267,-5278292.892251305,,
1446684473000.0,44761,LEO,STARLINK-44761,1900288.280238842,5759456.472211357,2350739.498160504,,
1446684473000.0,44765,LEO,STARLINK-44765,-3179551.39705053,5761222.46414429,1519658.4705954902,,
1446684473000.0,44768,LEO,STARLINK-44768,-5525223.055511085,3221505.683866582,2648839.381718531,,
1446684473000.0,44771,LEO,STARLINK-44771,-6240040.442978902,-881555.2239773261,-2881148.4193488844,,
1446684473000.0,44772,LEO,STARLINK-44772,-3079953.8905883357,-2931093.9776241346,-5473687.468200014,,
1446684473000.0,44925,LEO,STARLINK-44925,-4723464.989936817,-3270124.739160646,3586478.1230296157,,
1446684473000.0,44927,LEO,STARLINK-44927,-4420795.65047734,3118670.6759135337,4314268.878841197,,
1446684473000.0,44930,LEO,STARLINK-44930,43892.70656087132,6394483.110886701,-2668892.5675833994,,
1446684473000.0,44933,LEO,STARLINK-44933,5832049.132897402,2378957.7193409516,-2469737.196718812,,
1446684473000.0,44940,LEO,STARLINK-44940,1004569.5147842293,4076407.784372764,5019293.914909417,,
1446684473000.0,44941,LEO,STARLINK-44941,4081970.325324969,-1179496.5958099123,-5476890.219575259,,
1446684473000.0,44942,LEO,STARLINK-44942,-6338860.724926939,-1002298.3396961818,-1803247.058690936,,
1446684473000.0,44949,LEO,STARLINK-44949,-2793215.144578448,-5308656.915222877,3451955.599649198,,
1446684473000.0,44961,LEO,STARLINK-44961,-4130850.345430729,-4883830.375104096,2646744.1839862387,,
1446684473000.0,44968,LEO,STARLINK-44968,-4611587.509156022,-3073037.0839420524,4143025.934062046,,
1446684473000.0,44972,LEO,STARLINK-44972,1983930.6397857624,3555114.755814338,5352124.119723138,,
1446684473000.0,45044,LEO,STARLINK-45044,6348499.576389712,2637971.333810595,-852011.9586484688,,
1446684473000.0,45047,LEO,STARLINK-45047,-5031759.330884888,-300773.98551034345,4739076.280753784,,
1446684473000.0,45048,LEO,STARLINK-45048,-3453924.8489019373,-4658233.146394508,-3668351.825772581,,
1446684473000.0,45054,LEO,STARLINK-45054,3941118.8618830442,-1734635.10507507,-5431262.754657812,,
1446684473000.0,45057,LEO,STARLINK-45057,4760532.162576488,4888562.709855309,40195.46227276304,,
1446684473000.0,45060,LEO,STARLINK-45060,-5551832.176055085,-2270091.283662505,3453077.7985229045,,
1446684473000.0,45061,LEO,STARLINK-45061,-3930210.5604170896,1735708.1762248545,5421341.697131397,,
1446684473000.0,45062,LEO,STARLINK-45062,2513700.83313407,5592602.120561431,3025477.688174234,,
1446684473000.0,45064,LEO,STARLINK-45064,-4078242.3321728613,2210560.4916035454,5132308.007708084,,
1446684473000.0,45071,LEO,STARLINK-45071,6305371.72657968,1069618.4689248675,-2666254.8389435704,,
1446684473000.0,45072,LEO,STARLINK-45072,5502734.374649104,-632109.8922773451,-4165104.5369399195,,
1446684473000.0,45074,LEO,STARLINK-45074,-110477.82805414243,-4527202.004196836,-5246890.69423511,,
1446684473000.0,45080,LEO,STARLINK-45080,5630456.221450817,3888554.987982199,1063304.8982803794,,
1446684473000.0,45081,LEO,STARLINK-45081,-2078919.1147227453,3604690.6453086366,5525977.4511793135,,
1446684473000.0,45083,LEO,STARLINK-45083,-5699047.224252323,-52755.21033082012,-3461914.748579518,,
1446684473000.0,45087,LEO,STARLINK-45087,-4769159.944132704,-3445132.849253101,-3661945.045623852,,
1446684473000.0,45088,LEO,STARLINK-45088,-1906048.9762205726,3852891.008633313,5420000.142165198,,
1446684473000.0,45093,LEO,STARLINK-45093,4475539.232441686,-4338985.045736458,2578857.982176242,,
1446684473000.0,45096,LEO,STARLINK-45096,-377141.5263055291,-4129154.9762200946,-5480253.215328038,,
1446684473000.0,45098,LEO,STARLINK-45098,6176266.426761876,2390839.697695754,2016414.971528065,,
1446684473000.0,45100,LEO,STARLINK-45100,4778735.011207884,3432797.1038694205,3643751.0290215896,,
1446684473000.0,45179,LEO,STARLINK-45179,-954432.5843221195,-4633579.182234207,4895015.210950278,,
1446684473000.0,45183,LEO,STARLINK-45183,-4018853.4195581195,-2869300.8817215255,4845837.431825335,,
1446684473000.0,45185,LEO,STARLINK-45185,468253.56842172163,-4272047.581252239,5420494.953751789,,
1446684473000.0,45187,LEO,STARLINK-45187,-6789341.994618303,1364587.627729594,115340.45450926518,,
1446684473000.0,45189,LEO,STARLINK-45189,-6129769.600948056,2688512.474326893,-1788669.6554101838,,
