name,norad,epoch_utc,eci_x_km,eci_y_km,eci_z_km,eci_vx_kms,eci_vy_kms,eci_vz_kms,ecef_X_m,ecef_Y_m,ecef_Z_m,lat_deg,lon_deg,alt_km
,44940,2025-11-09T00:38:25Z,-569.1101383227857,5741.762966677887,3091.362151682608,-5.016639181942613,-3.2179665014529295,5.042160966337967,4546323.355634191,3553922.8581627985,3090118.109821173,28.32511090818766,38.015223946391544,172.5044021492905
,44941,2025-11-09T00:38:25Z,5613.959487220056,76.03053623504672,-4063.7848494834584,-3.059206283987483,5.573924975406818,-4.127553262229245,3067839.611268064,-4714393.59884416,-4049633.069131941,-35.92080958130313,-56.946378291628626,560.0347798578837
,44942,2025-11-09T00:38:25Z,-3877.156302428176,-3147.649263906182,-4421.914037213652,1.5831806359987333,-6.742946675379787,3.419072779768224,-4725651.607783074,1587758.5971659557,-4431772.311452674,-41.818854545700624,161.4283088980336,301.6625582400093
,44949,2025-11-09T00:38:25Z,-405.6992568347457,-4435.706979771776,5292.717133973894,6.856092913666716,-2.7414948586042485,-1.7676137162096661,-3974180.877060121,-2014594.5339315124,5291525.693680717,50.07592677258992,-153.11860645878818,551.9817972268352
,44961,2025-11-09T00:38:25Z,-992.7628846768557,-4745.652591111057,4935.428712552771,5.783300735453763,-4.078104802772688,-2.750617022472935,-4549244.206141943,-1684523.654270829,4932749.373161411,45.65515625706279,-159.68108970929225,551.230154340215
,44968,2025-11-09T00:38:25Z,-2732.8989550221418,-3192.0969020404996,5493.920530755242,5.065251890633722,-5.608197935572832,-0.7375598893245966,-4165796.892197362,617517.8797608358,5486911.341766776,52.663938347703045,171.56814851305234,552.0895867944912
,44972,2025-11-09T00:38:25Z,1530.0350133621,5132.654081269828,4065.791565281122,-6.439671436703507,-1.2745330761550604,4.028773399659078,5150989.725294206,1455942.6091279353,4069809.2998706144,37.422040090464165,15.783103065031952,353.99020555702367
,45044,2025-11-09T00:38:25Z,3028.578454738106,4933.879547479303,-3809.193308751455,-3.11534042517454,5.317489268994763,4.416236829889876,5794006.123579086,66202.71557581045,-3801384.5540203834,-33.429200145951874,0.6546370604013285,558.3548586846973
,45047,2025-11-09T00:38:25Z,-4060.699611072019,-904.9743112261267,5526.249808933785,2.13443028293424,-7.276498324884855,0.3756943974538032,-2941221.9760568044,2961574.568394165,5515976.085668312,53.05550608042428,134.8024473631715,552.6870275755292
,45048,2025-11-09T00:38:25Z,-91.44707506224786,-6823.501280928128,-663.0340547419609,4.60014337503593,0.5182025898773934,-6.0672711472659895,-5816988.691921395,-3567991.664077163,-663498.298004833,-5.5879429905128495,-148.4761150522763,478.3132920160398
,45054,2025-11-09T00:38:25Z,4473.157884309147,-1414.9354064683885,-5101.606385280488,-0.44799885974175935,7.179078995719045,-2.385775190563809,1199486.2368574957,-4548283.876273102,-5090375.613451978,-47.436507424138725,-75.22617005845267,564.3365674285452
